climate_pathway,financial_line_item,year,financial_line_item_shock
Delayed Transition,DCF,2025,-32818.19101
Delayed Transition,EBIT,2026,699.8206565
Delayed Transition,FCFF,2026,559.8565252
Delayed Transition,DCF,2026,248.4569017
Delayed Transition,EBIT,2027,874.1907859
Delayed Transition,FCFF,2027,699.3526288
Delayed Transition,DCF,2027,206.755796
Delayed Transition,EBIT,2028,1062.121343
Delayed Transition,FCFF,2028,849.6970745
Delayed Transition,DCF,2028,167.3450092
Delayed Transition,EBIT,2029,1264.460604
Delayed Transition,FCFF,2029,1011.568483
Delayed Transition,DCF,2029,132.7183861
Delayed Transition,EBIT,2030,1482.105047
Delayed Transition,FCFF,2030,1185.684038
Delayed Transition,DCF,2030,103.6315361
Delayed Transition,EBIT,2031,707.5743377
Delayed Transition,FCFF,2031,566.0594702
Delayed Transition,DCF,2031,32.95886014
Delayed Transition,EBIT,2032,831.7521095
Delayed Transition,FCFF,2032,665.4016876
Delayed Transition,DCF,2032,25.8095945
Delayed Transition,EBIT,2033,963.3884545
Delayed Transition,FCFF,2033,770.7107636
Delayed Transition,DCF,2033,19.91479628
Delayed Transition,EBIT,2034,1102.799105
Delayed Transition,FCFF,2034,882.2392837
Delayed Transition,DCF,2034,15.18651054
Net Zero 2050,EBIT,2025,-64044.70155
Net Zero 2050,FCFF,2025,-51235.76124
Net Zero 2050,DCF,2025,-34131.89128
Net Zero 2050,EBIT,2026,-2167.521985
Net Zero 2050,FCFF,2026,-1734.017588
Net Zero 2050,DCF,2026,-769.5340109
Net Zero 2050,EBIT,2027,-2445.904236
Net Zero 2050,FCFF,2027,-1956.723389
Net Zero 2050,DCF,2027,-578.4834218
Net Zero 2050,EBIT,2028,-2767.301577
Net Zero 2050,FCFF,2028,-2213.841261
Net Zero 2050,DCF,2028,-436.0086639
Net Zero 2050,EBIT,2029,-3137.81802
Net Zero 2050,FCFF,2029,-2510.254416
Net Zero 2050,DCF,2029,-329.3468711
Net Zero 2050,EBIT,2030,-3564.424457
Net Zero 2050,FCFF,2030,-2851.539566
Net Zero 2050,DCF,2030,-249.2311747
Net Zero 2050,EBIT,2031,-9293.18367
Net Zero 2050,FCFF,2031,-7434.546936
Net Zero 2050,DCF,2031,-432.877119
Net Zero 2050,EBIT,2032,-10663.52526
Net Zero 2050,FCFF,2032,-8530.820206
Net Zero 2050,DCF,2032,-330.8933752
Net Zero 2050,EBIT,2033,-12222.61375
Net Zero 2050,FCFF,2033,-9778.090999
Net Zero 2050,DCF,2033,-252.661179
Net Zero 2050,EBIT,2034,-13996.65339
Net Zero 2050,FCFF,2034,-11197.32272
Net Zero 2050,DCF,2034,-192.7461887
Low Demand,EBIT,2025,-64525.44226
Low Demand,FCFF,2025,-51620.35381
Low Demand,DCF,2025,-34388.09654
Low Demand,EBIT,2026,-2642.308778
Low Demand,FCFF,2026,-2113.847023
Low Demand,DCF,2026,-938.0972771
Low Demand,EBIT,2027,-2903.955509
Low Demand,FCFF,2027,-2323.164407
Low Demand,DCF,2027,-686.8176174
Low Demand,EBIT,2028,-3195.30885
Low Demand,FCFF,2028,-2556.24708
Low Demand,DCF,2028,-503.4443496
Low Demand,EBIT,2029,-3519.472091
Low Demand,FCFF,2029,-2815.577673
Low Demand,DCF,2029,-369.4054638
Low Demand,EBIT,2030,-3879.855355
Low Demand,FCFF,2030,-3103.884284
Low Demand,DCF,2030,-271.2866886
Low Demand,EBIT,2031,-3699.068383
Low Demand,FCFF,2031,-2959.254707
Low Demand,DCF,2031,-172.3028535
Low Demand,EBIT,2032,-4169.143008
Low Demand,FCFF,2032,-3335.314407
Low Demand,DCF,2032,-129.3701443
Low Demand,EBIT,2033,-4705.893317
Low Demand,FCFF,2033,-3764.714654
Low Demand,DCF,2033,-97.27842001
Low Demand,EBIT,2034,-5318.354831
Low Demand,FCFF,2034,-4254.683865
Low Demand,DCF,2034,-73.23840886
